"start";"end";"SurveyDate";"Distance";"Stream";"Type";"Quantity";"Species";"ReddStatus";"CarcassLocation";"Predation";"AdiposeFin";"Length_in";"Width_in";"Spawned";"CarcassAge";"Sex";"LifeStage";"Notes";"Location";"Location_latitude";"Location_longitude";"Location_altitude";"Location_precision";"Initials";"id";"uuid";"submission_time";"validation_status";"notes";"status";"submitted_by";"_version__";"tags";"index"
"2023-10-21T09:43:52.329-07:00";"2023-10-21T09:46:02.773-07:00";"2023-10-21";"0";"Piper's Creek";"Live";"1";"Coho";"";"";"";"";"";"";"";"";"Male";"Adult";"";"47.711944 -122.37972 19.799999237060547 7.872000217437744";"47.711944";"-122.37972";"19.799999237060547";"7.872000217437744";"LM";"281164886";"279b0fe9-d553-4ec7-bd51-b84e4af5abac";"2023-10-21T16:46:04";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"1"
"2023-10-21T09:55:56.838-07:00";"2023-10-21T09:56:19.899-07:00";"2023-10-21";"0";"Piper's Creek";"Live";"1";"Coho";"";"";"";"";"";"";"";"";"Female";"Adult";"";"47.711873 -122.379463 19.799999237060547 7.377999782562256";"47.711873";"-122.379463";"19.799999237060547";"7.377999782562256";"LM";"281167503";"ae55902e-1a1f-4c53-ae7e-1c84eedbe349";"2023-10-21T16:56:20";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"2"
"2023-10-21T09:18:33.405-07:00";"2023-10-21T10:02:08.719-07:00";"2023-10-21";"50";"Piper's Creek";"Dead";"";"Coho";"";"In creek";"Unknown";"Unknown";"";"";"Unknown";"Greater than 24 hours";"Female";"Adult";"KH";"";"";"";"";"";"KH";"281168841";"cc7ee00b-f43b-4866-923b-6fec0a3e564d";"2023-10-21T17:02:09";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"3"
"2023-10-21T10:06:22.010-07:00";"2023-10-21T10:07:19.492-07:00";"2023-10-21";"115";"Piper's Creek";"Live";"1";"Coho";"";"";"";"";"";"";"";"";"Female";"Adult";"";"47.712001 -122.378811 6.675768516990962 8.918286898812687";"47.712001";"-122.378811";"6.675768516990962";"8.918286898812687";"ML";"281170454";"54d0ff27-f14b-44dc-8a6e-0a90668ad14d";"2023-10-21T17:07:20";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"4"
"2023-10-21T10:02:08.755-07:00";"2023-10-21T10:13:06.898-07:00";"2023-10-21";"140";"Piper's Creek";"Dead";"";"Coho";"";"In creek";"Predation";"Yes";"17.5";"5";"Unspawned";"1-12 hours";"Male";"Adult";"";"";"";"";"";"";"KH";"281171835";"c84614b8-54a4-48f5-9973-770420830e5a";"2023-10-21T17:13:07";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"5"
"2023-10-21T10:13:06.917-07:00";"2023-10-21T10:18:10.519-07:00";"2023-10-21";"200";"Piper's Creek";"Dead";"";"Coho";"";"In creek";"Predation";"No";"";"";"Unknown";"Greater than 24 hours";"Male";"Adult";"";"";"";"";"";"";"KH";"281173162";"1836f44a-e101-4582-be0a-55c269365739";"2023-10-21T17:18:11";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"6"
"2023-10-23T00:22:54.167-07:00";"2023-10-23T00:25:57.158-07:00";"2023-10-17";"0";"Piper's Creek";"Dead";"";"Coho";"";"On creek bank";"Predation";"Unknown";"";"";"Unknown";"1-12 hours";"Unknown";"Adult";"On beach - data recorded on old project and migrated. SF 10/23/23";"";"";"";"";"";"SF";"281504908";"10ed8a40-a55c-4127-9f59-1f6070f41ad0";"2023-10-23T07:25:56";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"7"
"2023-10-23T00:25:57.212-07:00";"2023-10-23T00:27:16.895-07:00";"2023-10-17";"0";"Piper's Creek";"Dead";"";"Coho";"";"In creek";"Predation";"Unknown";"";"";"Unknown";"12-24 hours";"Unknown";"Adult";"On beach - data recorded on old project and migrated. SF 10/23/23";"";"";"";"";"";"Sf";"281505243";"41dc3875-614b-4b87-a8df-def931411183";"2023-10-23T07:27:16";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"8"
"2023-10-23T00:27:16.954-07:00";"2023-10-23T00:28:41.912-07:00";"2023-10-18";"0";"Piper's Creek";"Dead";"";"Coho";"";"In creek";"Predation";"Yes";"19";"4";"Unknown";"12-24 hours";"Male";"Adult";"Below weir - data recorded on old project and migrated. SF 10/23/23";"";"";"";"";"";"Sf";"281505506";"90497d64-2f9e-4963-9ede-0019a79160ae";"2023-10-23T07:28:41";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"9"
"2023-10-23T00:28:41.952-07:00";"2023-10-23T00:30:03.378-07:00";"2023-10-18";"0";"Piper's Creek";"Live";"1";"Coho";"";"";"";"";"";"";"";"";"Unknown";"Adult";"At west end of culvert - data recorded on old project and migrated. SF 10/23/23";"";"";"";"";"";"Sf";"281505794";"8373e42a-32c1-45d3-b234-42d88ceb599b";"2023-10-23T07:30:02";"";"";"submitted_via_web";"";"v4oRq8zyrmhK38LaXY7xkv";"";"10"
