"","address","type","datetime","latitude","longitude","report_location","incident_number"
"1","9202 11th Ave Sw","Aid Response","2025-10-14T21:04:00.000",47.520976,-122.349264,"POINT (-122.349264 47.520976)","F250142771"
"2","1505 10TH AVE","Aid Response","2025-10-14T20:54:00.000",47.614132,-122.319448,"POINT (-122.319448 47.614132)","F250142769"
"3","1100 23rd Ave","Medic Response","2025-10-14T20:53:00.000",47.611734,-122.302601,"POINT (-122.302601 47.611734)","F250142767"
"4","9821 57th Ave S","Aid Response Yellow","2025-10-14T20:35:00.000",47.512664,-122.262056,"POINT (-122.262056 47.512664)","F250142762"
"5","2715 25th Ave S","Medic Response","2025-10-14T20:28:00.000",47.579039,-122.300283,"POINT (-122.300283 47.579039)","F250142760"
"6","10th Ave / E Pike St","Aid Response Yellow","2025-10-14T20:20:00.000",47.614085,-122.319447,"POINT (-122.319447 47.614085)","F250142759"
"7","3024 Ne 110th St","Aid Response","2025-10-14T20:17:00.000",47.708398,-122.295887,"POINT (-122.295887 47.708398)","F250142757"
"8","5213 Ballard Ave Nw","Aid Response","2025-10-14T20:13:00.000",47.665617,-122.382264,"POINT (-122.382264 47.665617)","F250142756"
"9","7012 15th Ave Ne","Automatic Fire Alarm Resd","2025-10-14T20:11:00.000",47.679496,-122.312006,"POINT (-122.312006 47.679496)","F250142755"
"10","719 2ND AVE","Rubbish Fire","2025-10-14T20:03:00.000",47.60315,-122.333292,"POINT (-122.333292 47.60315)","F250142751"
"11","108 Cherry St","Rubbish Fire","2025-10-14T20:03:00.000",47.602593,-122.33419,"POINT (-122.33419 47.602593)","F250142752"
"12","706 Nw Market St","Aid Response","2025-10-14T19:59:00.000",47.668652,-122.365153,"POINT (-122.365153 47.668652)","F250142750"
"13","1900 5th Ave","1RED 1 Unit","2025-10-14T19:57:00.000",47.612958,-122.337873,"POINT (-122.337873 47.612958)","F250142749"
"14","4401 S Trenton St","Trans to AMR","2025-10-14T19:51:00.000",47.524258,-122.278029,"POINT (-122.278029 47.524258)","F250142748"
"15","800 Queen Anne Ave N","Aid Response","2025-10-14T19:47:00.000",47.626317,-122.356697,"POINT (-122.356697 47.626317)","F250142746"
"16","Dexter Ave N / Crockett St","Aid Response","2025-10-14T19:45:00.000",47.63762,-122.343357,"POINT (-122.343357 47.63762)","F250142743"
"17","118 Broadway E","Auto Fire Alarm","2025-10-14T19:42:00.000",47.618943,-122.320857,"POINT (-122.320857 47.618943)","F250142742"
"18","415 10th Ave","Auto Fire Alarm","2025-10-14T19:39:00.000",47.605346,-122.319413,"POINT (-122.319413 47.605346)","F250142741"
"19","Delridge Way Sw / Sw Henderson St","Aid Response","2025-10-14T19:31:00.000",47.522861,-122.360099,"POINT (-122.360099 47.522861)","F250142740"
"20","2034 Federal Ave E","Automatic Fire Alarm Resd","2025-10-14T19:25:00.000",47.63744,-122.319024,"POINT (-122.319024 47.63744)","F250142738"
"21","MARTIN LUTHER KING JR WAY S / S WALDEN ST","Aid Response","2025-10-14T19:20:00.000",47.571914,-122.296941,"POINT (-122.296941 47.571914)","F250142736"
"22","15th Ave E / E John St","1RED 1 Unit","2025-10-14T19:18:00.000",47.619967,-122.312719,"POINT (-122.312719 47.619967)","F250142729"
"23","2500 Franklin Ave E","Auto Fire Alarm","2025-10-14T19:13:00.000",47.64203,-122.324648,"POINT (-122.324648 47.64203)","F250142728"
"24","6418 29th Ave S","Medic Response","2025-10-14T19:07:00.000",47.545132,-122.295819,"POINT (-122.295819 47.545132)","F250142725"
"25","13200 Aurora Ave N","Medic Response","2025-10-14T19:04:00.000",47.724664,-122.344993,"POINT (-122.344993 47.724664)","F250142722"
"26","1550 Nw Market St","Aid Response","2025-10-14T19:01:00.000",47.668671,-122.377632,"POINT (-122.377632 47.668671)","F250142721"
"27","11507 33rd Ave Ne","Aid Response","2025-10-14T18:58:00.000",47.712005,-122.292544,"POINT (-122.292544 47.712005)","F250142720"
"28","10111 GREENWOOD AVE N","Tranformer Fire","2025-10-14T18:58:00.000",47.70226,-122.355423,"POINT (-122.355423 47.70226)","F250142718"
"29","2818 23rd Ave S","Automatic Fire Alarm Resd","2025-10-14T18:44:00.000",47.5782,-122.303325,"POINT (-122.303325 47.5782)","F250142716"
"30","1410 E John St","1RED 1 Unit","2025-10-14T18:41:00.000",47.61996,-122.313736,"POINT (-122.313736 47.61996)","F250142712"
"31","S Massachusetts St / Lake Washington Blvd S","Aid Response","2025-10-14T18:36:00.000",47.587682,-122.289299,"POINT (-122.289299 47.587682)","F250142710"
"32","223 Yesler Way","Aid Response","2025-10-14T18:36:00.000",47.601718,-122.331581,"POINT (-122.331581 47.601718)","F250142709"
"33","RAINIER AVE S / S MASSACHUSETTS ST","Aid Response","2025-10-14T18:31:00.000",47.588411,-122.305827,"POINT (-122.305827 47.588411)","F250142707"
"34","555 16th Ave","Aid Response","2025-10-14T18:28:00.000",47.606687,-122.31155,"POINT (-122.31155 47.606687)","F250142702"
